Ministry_Contact,Sampling_Agency,Project,Work_Order_number,Location_ID,Location_Name,LocationType,Location_Latitude,Location_Longitude,Location_Elevation,Location_Elevation_Units,Location_Group,Field_Visit_Start_Time,Field_Visit_End_Time,Field_Visit_Participants,Field_Comment,Activity_Comment,Field_Filtered,Field_Filtered_Comment,Field_Preservative,Field_Device_ID,Field_Device_Type,Sampling_Context_Tag,Collection_Method,Medium,Taxonomy,Depth_Upper,Depth_Lower,Depth_Unit,Observed_Date_Time,Observed_Date_Time_End,Observed_Property_ID,CAS_Number,Result_Value,Method_Detection_Limit,Method_Reporting_Limit,Result_Unit,Detection_Condition,Limit_Type,Composite_Stat,Fraction,Data_Classification,Analyzing_Agency,Analysis_Method,Analyzed_Date_Time,Result_Status,Result_Grade,Activity_Name,Tissue_Type,Lab_Arrival_Temperature,Specimen_Name,Lab_Quality_Flag,Lab_Arrival_Date_Time,Lab_Prepared_Date_Time,Lab_Sample_ID,Lab_Dilution_Factor,Lab_Comment,Lab_Batch_ID,QC_Type,QC_Source_Activity_Name,Validation_Warnings,Standards_Violation
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50260656,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2023-04-17T11:45:00.000-08:00,2023-04-17T12:00:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,20,45,m,2023-04-17 12:00:00.000-08:00,2023-04-17T12:15:00.000-08:00,"carbon, organic, total (TOC) (fl. conc.)",-,1,0.5,,mg/l,,,,TOTAL,LAB,ALS,X067;TOC Analyzer;EMS Migration,2023-04-21 00:00:00.000-08:00,Preliminary,Ungraded,4076632,,3,Carbon,,2023-04-18 11:15:00.000-08:00,,,,"Lab Batch ID: VA23A8323 EMS Result ID: 37595745 , Lab comments if any:",,,,,
Danny St.Hilaire,74 - Permittee,BC Lake Monitoring Network,50241373,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2019-04-04T09:30:00.000-08:00,2019-04-04T09:45:00.000-08:00,Danny St.Hilaire,W379/ N259/ M323/ TC,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,15,40,m,2019-04-04 09:45:00.000-08:00,2019-04-04T10:00:00.000-08:00,"copper (Cu), total (fl. conc.)",7440-50-8,0.000347,0.00005,,mg/l,,,,TOTAL,LAB,ALS,X561;Total metals: FA- HNO3- HR-ICPMS (No Prep)Prep);US EPA,2019-04-10 00:00:00.000-08:00,Preliminary,Ungraded,3375009,,3,Metals,,2019-04-05 08:50:00.000-08:00,,,,"Lab Batch ID: L2254123 EMS Result ID: 26440571 , Lab comments if any:",,,,,
Maxwell Hoyer,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50254999,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2021-08-18T09:00:00.000-08:00,2021-08-18T09:15:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,20,45,m,2021-08-18 09:15:00.000-08:00,2021-08-18T09:30:00.000-08:00,"nitrogen, nitrate (NO₃⁻), dissolved (fl. conc.)",14797-55-8,0.0871,0.003,,mg/l,,,,DISSOLVED,LAB,ALS,X044;Ion Chromatography;EMS Migration,2021-08-20 00:00:00.000-08:00,Preliminary,Ungraded,3767288,,3,Nutrients,,2021-08-19 12:00:00.000-08:00,,,,"Lab Batch ID: VA21B7592 EMS Result ID: 32247901 , Lab comments if any:",,,,,
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50260656,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2023-04-17T11:45:00.000-08:00,2023-04-17T12:00:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,20,45,m,2023-04-17 12:00:00.000-08:00,2023-04-17T12:15:00.000-08:00,"orthophosphate (PO₄⁻³ as P), dissolved (fl. conc.)",7723-14-0,0.001,0.001,,mg/l,NOT_DETECTED,,,,LAB,ALS,1420;Auto. Ascorbic - L Level;EMS Migration,2023-04-19 00:00:00.000-08:00,Preliminary,Ungraded,4076632,,3,Nutrients,,2023-04-18 11:15:00.000-08:00,,,,"Lab Batch ID: VA23A8323 EMS Result ID: 37595755 , Lab comments if any:",,,,Statistical Outlier: 0.001 mg/l >= P95 (0.001 mg/l),
Lyndsey Johnson,74 - Permittee,BC Lake Monitoring Network,50236467,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2018-05-15T11:15:00.000-08:00,2018-05-15T11:27:00.000-08:00,Lyndsey Johnson,M421,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,15,45,m,2018-05-15 11:27:00.000-08:00,,"nitrogen, total Kjeldahl (TKN) (fl. conc.)",-,0.05,0.05,,mg/l,NOT_DETECTED,,,,LAB,ALS,XCAL;Calculation (mg/L);EMS Migration,2018-05-30 00:00:00.000-08:00,Preliminary,Ungraded,3252775,,7,Nutrients,,2018-05-16 08:20:00.000-08:00,,,,"Lab Batch ID: L2095393 EMS Result ID: 24628367 , Lab comments if any:",,,,Statistical Outlier: 0.05 mg/l >= P95 (0.05 mg/l),
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50261832,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2023-08-22T08:45:00.000-08:00,2023-08-22T09:00:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,1,10,m,2023-08-22 08:45:00.000-08:00,2023-08-22T09:00:00.000-08:00,"manganese (Mn), total (fl. conc.)",7439-96-5,0.00125,0.00005,,mg/l,,,,TOTAL,LAB,ALS,METN;MET-T-NP-CCMS-VA;US EPA,2023-08-25 00:00:00.000-08:00,Preliminary,Ungraded,4161474,,5,Metals,,2023-08-23 11:00:00.000-08:00,,,,"Lab Batch ID: VA23B9685 EMS Result ID: 39227202 , Lab comments if any:",,,,,
Diane Sutherland,74 - Permittee,BC Lake Monitoring Network,50226519,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2016-09-07T10:30:00.000-08:00,2016-09-07T11:00:00.000-08:00,Diane Sutherland,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,30,50,m,2016-09-07 11:00:00.000-08:00,,"orthophosphate (PO₄⁻³ as P), dissolved (fl. conc.)",7723-14-0,0.001,0.001,,mg/l,NOT_DETECTED,,,,LAB,ALS,1380;Auto.Ascorbic Acid;EMS Migration,2016-09-08 00:00:00.000-08:00,Preliminary,Ungraded,3036624,,10,Nutrients,,2016-09-07 00:00:00.000-08:00,,,,"Lab Batch ID: L1825179 EMS Result ID: 21343171 , Lab comments if any:",,,,Statistical Outlier: 0.001 mg/l >= P95 (0.001 mg/l),
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50261832,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2023-08-22T08:45:00.000-08:00,2023-08-22T09:00:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,1,10,m,2023-08-22 08:45:00.000-08:00,2023-08-22T09:00:00.000-08:00,pH (acidity),-,7.18,0.1,,pH units,,,,,LAB,ALS,X330;Meter;EMS Migration,2023-08-24 00:00:00.000-08:00,Preliminary,Ungraded,4161474,,5,Physical Tests,,2023-08-23 11:00:00.000-08:00,,,,"Lab Batch ID: VA23B9685 EMS Result ID: 39227167 , Lab comments if any:",,,,,
Lyndsey Johnson,74 - Permittee,BC Lake Monitoring Network,50236467,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2018-05-15T11:15:00.000-08:00,2018-05-15T11:27:00.000-08:00,Lyndsey Johnson,M421,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,2,10,m,2018-05-15 11:15:00.000-08:00,,"arsenic (As), total (fl. conc.)",7440-38-2,0.000122,0.00002,,mg/l,,,,TOTAL,LAB,ALS,X561;Total metals: FA- HNO3- HR-ICPMS (No Prep)Prep);US EPA,2018-05-29 00:00:00.000-08:00,Preliminary,Ungraded,3252774,,7,Metals,,2018-05-16 08:20:00.000-08:00,,,,"Lab Batch ID: L2095393 EMS Result ID: 24628302 , Lab comments if any:",,,,,
Danny St.Hilaire,74 - Permittee,BC Lake Monitoring Network,50243845,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2019-08-14T09:30:00.000-08:00,2019-08-14T10:00:00.000-08:00,Danny St. Hilaire,W592/ N232/ T428 (CH) Epilimnion,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,1,10,m,2019-08-14 09:30:00.000-08:00,2019-08-14T10:00:00.000-08:00,"thallium (Tl), total (fl. conc.)",7440-28-0,0.000002,0.000002,,mg/l,NOT_DETECTED,,,TOTAL,LAB,ALS,METT;MET-T-NP-BCMOE-MS-VA;US EPA,2019-08-21 00:00:00.000-08:00,Preliminary,Ungraded,3434489,,6,Metals,,2019-08-14 14:30:00.000-08:00,,,,"Lab Batch ID: L2329046 EMS Result ID: 27337607 , Lab comments if any:",,,,,
Danny St.Hilaire,74 - Permittee,BC Lake Monitoring Network,50237833,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2018-08-15T12:20:00.000-08:00,2018-08-15T12:45:00.000-08:00,Danny St.Hilaire,W010/N230/M431 (EN),Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,1,10,m,2018-08-15 12:20:00.000-08:00,2018-08-15T12:40:00.000-08:00,"nitrogen, ammonia (NH₃ as N), total (fl. conc.)",7664-41-7,0.005,0.005,,mg/l,NOT_DETECTED,,,TOTAL,LAB,ALS,NH3F;NH3-F-VA;EMS Migration,2018-08-17 00:00:00.000-08:00,Preliminary,Ungraded,3288216,,4,Nutrients,,2018-08-16 08:50:00.000-08:00,,,,"Lab Batch ID: L2147904 EMS Result ID: 25247099 , Lab comments if any:",,,,Statistical Outlier: 0.005 mg/l >= P95 (0.005 mg/l),
