Observation ID,Location ID,Location Name,Observed Property ID,Observed DateTime,Analyzed DateTime,Depth,Depth Unit,Data Classification,Result Value,Result Unit,Source of Rounded Value,Rounded Value,Rounding Specification,Result Status,Result Grade,Medium,Activity ID,Activity Name,Collection Method,Field: Device ID,Field: Device Type,Field: Comment,Lab: Specimen Name,Lab: Analysis Method,Lab: Detection Condition,Lab: Limit Type,Lab: MDL,Lab: MRL,Lab: Quality Flag,Lab: Received DateTime,Lab: Prepared DateTime,Lab: Sample Fraction,Lab: From Laboratory,Lab: Sample ID,Lab: Dilution Factor,Lab: Comment,QC: Type,QC: Source Sample ID,Standards Violations,Specimen: Taxonomy Element,CAS Number,Latitude,Longitude,Elevation,Elevation Unit,Country,State,County,Location Type,Field Visit Start Date,Validation Warnings,Location Group,EA_Lab Batch ID,EA_Observation Composite Stat,EA_Upload File Name
00000552-d418-4af6-8f0f-950e42f94098,0500629,SIMILKAMEEN RIVER @ PRINCETON,Specific Conductance (elec. cond.),2022-05-17 09:45:00.000-08:00,2022-05-20 00:00:00.000-08:00,,,LAB,90.1,µS/cm,,,,Preliminary,Unknown,Water - Fresh,d32e533b-f0f8-46cb-89d7-2c8a1152c785,3900681;;Water - Fresh;0500629;2022-05-17T09:45:00-08:00,Grab,,,,Physical Properties,X330;Meter;EMS Migration,,,2,,,2022-05-18 09:00:00.000-08:00,,,ALS,001,,,,,,,,49.4591,-120.50393,,,,,,"River, Stream, or Creek",2022-05-17,,,VA22B0774,,water-may-16-243.csv
0000cc0d-2dc1-4273-80e1-56bd9beea09b,E305962,MW12-043 MOUNT MILLIGAN 104777,Nitrogen Total (fl. conc.),2022-05-11 14:45:00.000-08:00,2022-05-18 00:00:00.000-08:00,,,LAB,0.071,mg/L,,,,Preliminary,Unknown,Water - Ground,d087d5a6-037b-4275-946f-3c630ef5126e,3898461;;Water - Ground;E305962;2022-05-11T14:45:00-08:00,Grab,,,,Nutrients,XCAL;Calculation (mg/L);EMS Migration,,,0.05,,,2022-05-13 09:15:00.000-08:00,,TOTAL,CAR,22E1815-01,,,,,,,,55.124931,-123.966588,,,,,,Well,2022-05-11,,104777,,,water-may-15-160.csv
000437da-615a-49bc-9656-f374c56237f1,E306062,PE-07337 (WQ21A) SILVERTIP CREEK IMMEDIATELY ABOVE CONFLUENCE WITH BRINCO,Sulfur Total (fl. conc.),2022-05-05 11:00:00.000-08:00,2022-05-12 00:00:00.000-08:00,,,LAB,114,mg/L,,,,Preliminary,Unknown,Water - Fresh,501ced46-5fe5-4585-85f5-0b153faaf971,3896500;;Water - Fresh;E306062;2022-05-05T11:00:00-08:00,Grab,,,,3896500,"F033;Acid Dig,Centrifuge,ICPMS;EMS Migration",,,3,,,2022-05-10 11:14:00.000-08:00,,TOTAL,MX,AST508,,,,,,,7704-34-9,59.931046,-130.337463,,,,,,"River, Stream, or Creek",2022-05-05,Statistical Outlier: 114.0 mg/L >= P95 (114.0 mg/L),7337,A573142,,water-may-15-243.csv
001a3156-05a0-4694-9141-4562986030dd,0600011,FRASER RIVER AT MARGUERITE,Silver Total (fl. conc.),2022-04-13 08:40:00.000-08:00,2022-05-11 00:11:00.000-08:00,,,LAB,0.000021,mg/L,,,,Preliminary,Unknown,Water - Fresh,97a7a009-fad2-402e-b87c-37e15bbac652,4047508;REPLICATE;Water - Fresh;0600011;2022-04-13T08:40:00-08:00,Grab,,,,Metals - Total,"X555;Metals in water, total, ""in-bottle"" digestion, ICP-SFMS;EMS Migration",,,0.000001,,,,,TOTAL,NTL,VA22A7876,,,REPLICATE,,,,7440-22-4,52.5294,-122.44635,,,,,,"River, Stream, or Creek",2022-04-13,,,,,water-may-16-422.csv
002a7c86-a56b-4376-8537-554bcf75fcc5,E104955,KELOWNA STP - MAIN PLANT PE 12211 @ OUTLET OF CHLORINATION TANK 1,Chemical Oxygen Demand (fl. conc.),2022-05-08 00:00:00.000-08:00,2022-05-08 00:00:00.000-08:00,,,LAB,34.8,mg/L,,,,Preliminary,Unknown,Water - Waste,eda03f35-a4b9-40f9-a14b-f69b28ba0bd6,3906567;;Water - Waste;E104955;2022-05-08T00:00:00-08:00,Flow Proportional Composite,,,,Aggregate Organics,"X559;Haach,Mn(3)sol'nDig,KPHcol'm,510nm;EMS Migration",,,4,,,,,,CAR,,,,,,,,,49.8642,-119.4836,,,,,,Outfall,2022-05-08,,12211,,,water-may-16-1770.csv
0037d347-7947-4847-9cae-7c90db3254a3,E305968,MW-13-06 MOUNT MILLIGAN 104777,Nitrate (NO3) Dissolved (fl. conc.),2022-05-04 16:40:00.000-08:00,2022-05-10 02:22:00.000-08:00,,,LAB,0.212,mg/L,,,,Preliminary,Unknown,Water - Ground,1716e80c-54d2-4619-a8a3-6efee39e77bf,3896138;;Water - Ground;E305968;2022-05-04T16:40:00-08:00,Grab,,,,Nutrients,X044;Ion Chromatography;EMS Migration,,,0.01,,,2022-05-06 10:20:00.000-08:00,,DISSOLVED,CAR,22E0871-01,,,,,,,14797-55-8,55.139319,-123.992184,,,,,,Well,2022-05-04,Statistical Outlier: 0.212 mg/L >= P95 (0.212 mg/L),104777,B2E0828,,water-may-15-163.csv
004899eb-7bf7-4943-9ccb-5449aba18b05,E305931,WQ-PIT MOUNT MILLIGAN 104777,Manganese Dissolved (fl. conc.),2022-04-26 13:28:00.000-08:00,2022-05-05 16:19:00.000-08:00,,,LAB,0.0543,mg/L,,,,Preliminary,Unknown,Water - Waste,7306d760-4876-433d-89db-459d40650fdc,3901413;;Water - Waste;E305931;2022-04-26T13:28:00-08:00,Grab,,,,Metals - Dissolved,"F032;Filt.,Acid,ICPMS;EMS Migration",,,0.00005,,,2022-04-29 09:15:00.000-08:00,,DISSOLVED,CAR,22D3731-01,,,,,,,7439-96-5,55.125977,-124.028752,,,,,,Outfall,2022-04-26,,104777,B2E0299,,water-may-15-143.csv
0055e852-4dda-450c-8b02-2ef8384ff2b4,E305944,KP91-A6D MOUNT MILLIGAN 104777,Calcium Dissolved (fl. conc.),2022-05-10 14:05:00.000-08:00,2022-05-18 17:15:00.000-08:00,,,LAB,27,mg/L,,,,Preliminary,Unknown,Water - Ground,b8a39c4d-f141-4c17-b0d4-4507f2f2e16e,3897610;;Water - Ground;E305944;2022-05-10T14:05:00-08:00,Grab,,,,Metals - Dissolved,"F032;Filt.,Acid,ICPMS;EMS Migration",,,0.05,,,2022-05-12 11:00:00.000-08:00,,DISSOLVED,CAR,22E1703-02,,,,,,,7440-70-2,55.128467,-123.967135,,,,,,Well,2022-05-10,,104777,B2E1842,,water-may-15-149.csv
006d0c75-e07b-4e55-a0d9-6f10b6a0f3ce,E305950,KP07-13 MOUNT MILLIGAN 104777,Carbonate Alkalinity (as CaCO3) (fl. conc.),2022-04-27 12:01:01.000-08:00,2022-05-03 22:03:00.000-08:00,,,LAB,0.6,mg/L,,,,Preliminary,Unknown,Water - Ground,920ca580-3ba9-422e-bf3e-94623efe5eb6,3892887;;Water - Ground;E305950;2022-04-27T12:01:01-08:00,Grab,,,,Major Ions-2,XCAL;Calculation (mg/L);EMS Migration,NOT_DETECTED,,0.6,,,2022-04-29 09:15:00.000-08:00,,,CAR,22D3718-01,,,,,,,,55.138284,-123.972363,,,,,,Well,2022-04-27,,104777,,,water-may-15-152.csv
008edcc3-6ef7-4971-944c-9a4e13cc7b25,0600033,GIBRALTAR(416)E CUISSON CR BELOW SEEPAGE POND,Calcium Total (fl. conc.),2022-05-03 11:56:00.000-08:00,2022-05-20 00:00:00.000-08:00,,,LAB,17.2,mg/L,,,,Preliminary,Unknown,Water - Fresh,047a9914-026a-4b24-b3be-4e41335ea449,3899571;;Water - Fresh;0600033;2022-05-03T11:56:00-08:00,Grab,,,,Metals - Total,"F082;Aliquot,HNO3/HCL dig,ICPMS;EMS Migration",,,0.05,,,2022-05-05 09:00:00.000-08:00,,TOTAL,ALS,006,,,,,,,7440-70-2,52.5761,-122.2997,,,,,,"River, Stream, or Creek",2022-05-03,Statistical Outlier: 17.2 mg/L < P5 (19.2 mg/L),416,VA22A9620,,water-may-16-467.csv
